best m,c is 1.380000,12.260000 with error 11.867255 in direction 0
best m,c is 1.380000,12.270000 with error 11.864435 in direction 0
best m,c is 1.380000,12.280000 with error 11.861623 in direction 0
best m,c is 1.380000,12.290000 with error 11.858818 in direction 0
best m,c is 1.380000,12.300000 with error 11.856021 in direction 0
best m,c is 1.380000,12.310000 with error 11.853232 in direction 0
best m,c is 1.380000,12.320000 with error 11.850451 in direction 0
best m,c is 1.380000,12.330000 with error 11.847677 in direction 0
best m,c is 1.380000,12.340000 with error 11.844912 in direction 0
best m,c is 1.380000,12.350000 with error 11.842154 in direction 0
best m,c is 1.380000,12.360000 with error 11.839404 in direction 0
best m,c is 1.380000,12.370000 with error 11.836661 in direction 0
best m,c is 1.380000,12.380000 with error 11.833927 in direction 0
best m,c is 1.380000,12.390000 with error 11.831200 in direction 0
best m,c is 1.380000,12.400000 with error 11.828481 in direction 0
best m,c is 1.380000,12.410000 with error 11.825770 in direction 0
best m,c is 1.380000,12.420000 with error 11.823067 in direction 0
best m,c is 1.380000,12.430000 with error 11.820371 in direction 0
best m,c is 1.380000,12.440000 with error 11.817684 in direction 0
best m,c is 1.380000,12.450000 with error 11.815004 in direction 0
best m,c is 1.380000,12.460000 with error 11.812332 in direction 0
best m,c is 1.380000,12.470000 with error 11.809669 in direction 0
best m,c is 1.380000,12.480000 with error 11.807012 in direction 0
best m,c is 1.380000,12.490000 with error 11.804364 in direction 0
best m,c is 1.380000,12.500000 with error 11.801724 in direction 0
best m,c is 1.380000,12.510000 with error 11.799092 in direction 0
best m,c is 1.380000,12.520000 with error 11.796467 in direction 0
best m,c is 1.380000,12.530000 with error 11.793850 in direction 0
best m,c is 1.380000,12.540000 with error 11.791242 in direction 0
best m,c is 1.380000,12.550000 with error 11.788641 in direction 0
best m,c is 1.380000,12.560000 with error 11.786048 in direction 0
best m,c is 1.380000,12.570000 with error 11.783463 in direction 0
best m,c is 1.380000,12.580000 with error 11.780886 in direction 0
best m,c is 1.380000,12.590000 with error 11.778316 in direction 0
best m,c is 1.380000,12.600000 with error 11.775755 in direction 0
best m,c is 1.380000,12.610000 with error 11.773202 in direction 0
best m,c is 1.380000,12.620000 with error 11.770657 in direction 0
best m,c is 1.380000,12.630000 with error 11.768119 in direction 0
best m,c is 1.380000,12.640000 with error 11.765590 in direction 0
best m,c is 1.380000,12.650000 with error 11.763068 in direction 0
best m,c is 1.380000,12.660000 with error 11.760555 in direction 0
best m,c is 1.380000,12.670000 with error 11.758049 in direction 0
best m,c is 1.380000,12.680000 with error 11.755551 in direction 0
best m,c is 1.380000,12.690000 with error 11.753062 in direction 0
best m,c is 1.380000,12.700000 with error 11.750580 in direction 0
best m,c is 1.380000,12.710000 with error 11.748107 in direction 0
best m,c is 1.380000,12.720000 with error 11.745641 in direction 0
best m,c is 1.380000,12.730000 with error 11.743183 in direction 0
best m,c is 1.380000,12.740000 with error 11.740734 in direction 0
best m,c is 1.380000,12.750000 with error 11.738292 in direction 0
best m,c is 1.380000,12.760000 with error 11.735858 in direction 0
best m,c is 1.380000,12.770000 with error 11.733433 in direction 0
best m,c is 1.380000,12.780000 with error 11.731015 in direction 0
best m,c is 1.380000,12.790000 with error 11.728605 in direction 0
best m,c is 1.380000,12.800000 with error 11.726204 in direction 0
best m,c is 1.370000,12.810000 with error 11.723688 in direction 7
best m,c is 1.370000,12.820000 with error 11.720888 in direction 0
best m,c is 1.370000,12.830000 with error 11.718095 in direction 0
best m,c is 1.370000,12.840000 with error 11.715310 in direction 0
best m,c is 1.370000,12.850000 with error 11.712533 in direction 0
best m,c is 1.370000,12.860000 with error 11.709764 in direction 0
best m,c is 1.370000,12.870000 with error 11.707003 in direction 0
best m,c is 1.370000,12.880000 with error 11.704249 in direction 0
best m,c is 1.370000,12.890000 with error 11.701504 in direction 0
best m,c is 1.370000,12.900000 with error 11.698766 in direction 0
best m,c is 1.370000,12.910000 with error 11.696037 in direction 0
best m,c is 1.370000,12.920000 with error 11.693315 in direction 0
best m,c is 1.370000,12.930000 with error 11.690601 in direction 0
best m,c is 1.370000,12.940000 with error 11.687895 in direction 0
best m,c is 1.370000,12.950000 with error 11.685197 in direction 0
best m,c is 1.370000,12.960000 with error 11.682507 in direction 0
best m,c is 1.370000,12.970000 with error 11.679825 in direction 0
best m,c is 1.370000,12.980000 with error 11.677151 in direction 0
best m,c is 1.370000,12.990000 with error 11.674485 in direction 0
best m,c is 1.370000,13.000000 with error 11.671827 in direction 0
best m,c is 1.370000,13.010000 with error 11.669176 in direction 0
best m,c is 1.370000,13.020000 with error 11.666534 in direction 0
best m,c is 1.370000,13.030000 with error 11.663900 in direction 0
